X1,X2
40.75362,-73.98377
40.80902,-73.9419
40.79851,-73.94399
40.74767,-73.975
40.76489,-73.98493
40.80178,-73.96723
40.71344,-73.99037
40.80316,-73.96545
40.76076,-73.98867
40.79826,-73.96113
40.7353,-74.00525
40.74192,-73.99501
40.79685,-73.94872
40.86754,-73.92639
40.76715,-73.98533
40.86482,-73.92106
40.7292,-73.98542
40.82245,-73.95104
40.81305,-73.95466
40.8213,-73.95318
40.71401,-73.98917
40.7229,-73.98199
40.79009,-73.97927
40.81175,-73.94478
40.78635,-73.97008
40.73961,-73.98074
40.72004,-73.99104
40.75531,-73.99293
40.7221,-73.99775
40.74623,-73.9953
40.77065,-73.95269
40.75979,-73.99119
40.72649,-73.97904
40.72298,-73.98474
40.80164,-73.93922
40.72162,-73.98008
40.76342,-73.98865
40.83139,-73.94095
40.72828,-73.98801
40.76865,-73.95058
40.74138,-74.00197
40.82915,-73.95136
40.71851,-73.98892
40.7114,-73.98794
40.72334,-73.9844
40.72912,-73.98057
40.79764,-73.96177
40.82803,-73.94731
40.74008,-74.00271
40.82279,-73.95139
40.83927,-73.94281
40.73096,-74.00319
40.8092,-73.94421
40.75527,-73.99291
40.7288,-73.98192
40.7254,-73.98157
40.74294,-73.98009
40.77823,-73.97637
40.72555,-73.97965
40.82754,-73.94919
40.77842,-73.97556
40.72245,-73.98527
40.778,-73.94822
40.85879,-73.93128
40.81618,-73.94894
40.72392,-73.99143
40.71341,-73.98856
40.76754,-73.98399
40.73442,-74.00303
40.72354,-73.98295
40.73474,-74.00101
40.79295,-73.93997
40.73226,-74.00401
40.77711,-73.9527
40.77456,-73.95323
40.76123,-73.9642
40.82704,-73.94907
40.72518,-73.98034
40.70666,-74.01374
40.73756,-74.00405
40.81526,-73.94791
40.73423,-74.0046
40.82374,-73.9373
40.80549,-73.95924
40.76834,-73.95334
40.74031,-73.99999
40.76307,-73.99665
40.71882,-73.98852
40.77333,-73.95199
40.72319,-73.99201
40.74859,-73.99671
40.76244,-73.99271
40.76548,-73.98474
40.80234,-73.95603
40.81035,-73.94598
40.79958,-73.94275
40.72773,-73.99134
40.72861,-74.0049
40.72752,-73.98432
40.81219,-73.94499
40.72821,-73.98701
40.7672,-73.98508
40.73012,-73.99053
40.7403,-73.98498
40.80931,-73.94343
40.8251,-73.94287
40.76193,-73.9501
40.72052,-73.98589
40.71756,-73.99503
40.7589,-73.96991
40.72003,-74.00262
40.73194,-73.99474
40.79163,-73.94573
40.8118,-73.94434
40.81583,-73.94707
40.72654,-73.98049
40.80021,-73.96071
40.80942,-73.93936
40.71961,-73.9954
40.74358,-74.00027
40.80335,-73.9575
40.71445,-73.9908
40.75749,-73.96897
40.7268,-73.99079
40.72477,-73.98161
40.74238,-73.99567
40.72185,-73.98246
40.86648,-73.9263
40.72807,-73.98594
40.71702,-73.99811
40.72321,-73.98157
40.77956,-73.98098
40.72956,-73.98158
40.82888,-73.94307
40.72681,-73.98534
40.71904,-73.99392
40.81322,-73.95306
40.79603,-73.94903
40.80393,-73.95838
40.80082,-73.9652
40.82976,-73.94867
40.78971,-73.9729
40.71943,-73.99627
40.78,-73.98249
40.86713,-73.92811
40.73198,-73.98881
40.72542,-73.97986
40.83494,-73.93869
40.71659,-73.98945
40.72966,-74.00243
40.77728,-73.97818
40.80892,-73.93985
40.80276,-73.9567
40.71876,-73.98394
40.76248,-73.9913
40.72329,-73.98486
40.72399,-73.98374
40.72451,-73.98094
40.72843,-73.98895
40.71271,-73.99776
40.71965,-73.98766
40.73877,-73.97707
40.74893,-73.99544
40.79406,-73.94102
40.85295,-73.93361
40.78558,-73.9696
40.72577,-73.98745
40.82773,-73.95231
40.77944,-73.98567
40.74503,-73.98876
40.8054,-73.95189
40.78491,-73.9508
40.75835,-73.99193
40.71895,-73.99434
40.75579,-73.96699
40.82399,-73.95328
40.81822,-73.94095
40.74412,-74.00208
40.73067,-73.98702
40.80481,-73.94794
40.72533,-73.99143
40.72939,-73.98857
40.79918,-73.96607
40.81333,-73.94453
40.73215,-74.00922
40.7463,-73.97926
40.74488,-74.001
40.72274,-73.97581
40.72255,-73.99346
40.72094,-73.99706
40.72485,-73.97813
40.80473,-73.9532
40.72217,-73.98419
40.74249,-74.00329
40.79264,-73.97294
40.80474,-73.94688
40.72831,-74.00177
40.79765,-73.96245
40.78508,-73.95332
40.72008,-73.98404
